t,K,U,E,N0,Nx,S/nk,n
1,236.85,-36.85,200.0,0.4391,0.49029999999999996,2.95695,100
2,209.26,-9.26,200.0,0.2881,0.5164,2.9418200000000003,100
3,213.47,-13.47,200.0,0.31799999999999995,0.49870000000000003,3.0087800000000002,100
4,210.92,-10.92,200.0,0.2895,0.5302,2.9879000000000002,100
5,222.76,-22.76,200.0,0.3558,0.5159999999999999,3.06472,100
6,226.29,-26.29,200.0,0.3959,0.4710999999999999,3.10797,100
7,219.7,-19.7,200.0,0.3663,0.46440000000000015,3.10082,100
8,210.42,-10.42,200.0,0.2961,0.512,3.0290100000000004,100
9,214.58,-14.58,200.0,0.32970000000000005,0.4864,3.07766,100
10,220.77,-20.77,200.0,0.3486999999999999,0.5103,3.08646,100
11,222.36,-22.36,200.0,0.3649000000000001,0.49379999999999996,3.11561,100
12,216.01,-16.01,200.0,0.3354,0.4893,3.10107,100
13,212.8,-12.8,200.0,0.3067000000000001,0.5146,3.0625999999999998,100
14,217.68,-17.68,200.0,0.3190000000000001,0.5388000000000001,3.0606799999999996,100
15,218.9,-18.9,200.0,0.34529999999999994,0.4984,3.11979,100
16,220.02,-20.02,200.0,0.3540999999999999,0.4919999999999999,3.1204,100
17,216.1,-16.1,200.0,0.34980000000000006,0.4613999999999999,3.14501,100
18,220.18,-20.18,200.0,0.3434000000000001,0.5150000000000001,3.10887,100
19,226.45,-26.45,200.0,0.4054,0.45370000000000005,3.19427,100
20,213.24,-13.24,200.0,0.336,0.4604000000000001,3.13458,100
21,218.44,-18.44,200.0,0.3607,0.463,3.1521999999999997,100
22,213.7,-13.7,200.0,0.3067,0.5236,3.07761,100
23,225.72,-25.72,200.0,0.3950999999999999,0.4670000000000001,3.18266,100
24,220.0,-20.0,200.0,0.3839999999999999,0.43199999999999994,3.1986999999999997,100
25,223.54,-23.54,200.0,0.3742000000000001,0.4870000000000001,3.15953,100
26,219.82,-19.82,200.0,0.3762000000000001,0.44579999999999986,3.18858,100
27,214.35,-14.35,200.0,0.3281,0.4873000000000001,3.1229899999999997,100
28,224.49,-24.49,200.0,0.4059000000000001,0.43310000000000004,3.21266,100
29,218.53,-18.53,200.0,0.3522,0.48090000000000005,3.1452199999999997,100
30,212.44,-12.44,200.0,0.3345,0.45540000000000014,3.13623,100
31,223.19,-23.19,200.0,0.3826999999999999,0.46649999999999997,3.17156,100
32,220.33,-20.33,200.0,0.38230000000000003,0.4387,3.18942,100
33,225.66,-25.66,200.0,0.36629999999999996,0.524,3.1146,100
34,216.96,-16.96,200.0,0.3696,0.43040000000000006,3.18639,100
35,210.8,-10.8,200.0,0.3034,0.5012000000000001,3.09063,100
36,209.46,-9.46,200.0,0.3104,0.47379999999999994,3.1159,100
37,217.79,-17.79,200.0,0.3273,0.5233000000000001,3.10025,100
38,229.6,-29.6,200.0,0.4396,0.4168,3.2368,100
39,218.77,-18.77,200.0,0.33,0.5277,3.09654,100
40,226.01,-26.01,200.0,0.41769999999999996,0.4247000000000001,3.2200100000000003,100
41,221.16,-21.16,200.0,0.3685,0.47459999999999986,3.15777,100
42,226.62,-26.62,200.0,0.4074999999999999,0.4512,3.19548,100
43,214.7,-14.7,200.0,0.3367,0.4735999999999999,3.14042,100
44,215.29,-15.29,200.0,0.36589999999999995,0.4211,3.1857800000000003,100
45,218.66,-18.66,200.0,0.33759999999999996,0.5114,3.11497,100
46,222.59,-22.59,200.0,0.3826,0.46069999999999994,3.167,100
47,213.7,-13.7,200.0,0.313,0.5110000000000001,3.08992,100
48,212.95,-12.95,200.0,0.3461,0.43729999999999997,3.15475,100
49,221.05,-21.05,200.0,0.34430000000000005,0.5219,3.0949299999999997,100
50,215.79,-15.79,200.0,0.32780000000000004,0.5023000000000001,3.1081399999999997,100
51,216.4,-16.4,200.0,0.3393,0.48540000000000005,3.13681,100
52,219.8,-19.8,200.0,0.3655,0.467,3.16234,100
53,212.04,-12.04,200.0,0.30709999999999993,0.5062,3.09371,100
54,221.27,-21.27,200.0,0.39049999999999996,0.43170000000000003,3.2025799999999998,100
55,220.43,-20.43,200.0,0.36830000000000007,0.4677,3.17206,100
56,209.43,-9.43,200.0,0.3243,0.4457000000000001,3.14244,100
57,216.91,-16.91,200.0,0.32309999999999994,0.5229,3.09781,100
58,219.72,-19.72,200.0,0.35069999999999996,0.49579999999999996,3.13731,100
59,219.22,-19.22,200.0,0.35900000000000004,0.47420000000000007,3.1604099999999997,100
60,214.58,-14.58,200.0,0.3323000000000001,0.48120000000000007,3.13345,100
61,218.69,-18.69,200.0,0.36919999999999986,0.4485,3.1825,100
62,216.74,-16.74,200.0,0.342,0.4834000000000001,3.14043,100
63,217.27,-17.27,200.0,0.34320000000000017,0.4863000000000001,3.14012,100
64,212.97,-12.97,200.0,0.35200000000000004,0.4257,3.17706,100
65,213.84,-13.84,200.0,0.31549999999999995,0.5074000000000001,3.1063899999999998,100
66,216.18,-16.18,200.0,0.3378,0.48619999999999985,3.1390599999999997,100
67,214.78,-14.78,200.0,0.3526999999999998,0.44240000000000007,3.17377,100
68,220.81,-20.81,200.0,0.3503999999999998,0.5073000000000001,3.1291599999999997,100
69,215.53,-15.53,200.0,0.32449999999999996,0.5063000000000002,3.1106100000000003,100
70,222.73,-22.73,200.0,0.36920000000000003,0.4889,3.15221,100
71,217.03,-17.03,200.0,0.34,0.4903,3.13626,100
72,223.02,-23.02,200.0,0.36150000000000004,0.5072000000000001,3.1327,100
73,210.01,-10.01,200.0,0.30150000000000005,0.49709999999999993,3.09631,100
74,219.83,-19.83,200.0,0.36529999999999996,0.4677,3.17071,100
75,221.41,-21.41,200.0,0.37,0.47409999999999997,3.16481,100
76,219.12,-19.12,200.0,0.36199999999999993,0.4672,3.158,100
77,217.21,-17.21,200.0,0.32099999999999995,0.5301000000000001,3.0871500000000003,100
78,221.19,-21.19,200.0,0.37209999999999993,0.4677,3.1719899999999996,100
79,218.4,-18.4,200.0,0.3464,0.4911999999999999,3.13376,100
80,223.59,-23.59,200.0,0.39149999999999996,0.4529000000000001,3.1868499999999997,100
81,217.68,-17.68,200.0,0.33880000000000005,0.4991999999999999,3.12603,100
82,232.43,-32.43,200.0,0.45640000000000003,0.4115,3.2480300000000004,100
83,216.62,-16.62,200.0,0.3236,0.519,3.1045,100
84,219.67,-19.67,200.0,0.35899999999999993,0.47869999999999996,3.15946,100
85,217.39,-17.39,200.0,0.33509999999999995,0.5036999999999999,3.1237199999999996,100
86,222.01,-22.01,200.0,0.37989999999999996,0.4603,3.18504,100
87,219.97,-19.97,200.0,0.3557999999999999,0.4881,3.15011,100
88,221.19,-21.19,200.0,0.35620000000000007,0.4995000000000001,3.14182,100
89,221.14,-21.14,200.0,0.3564,0.4986,3.14241,100
90,215.7,-15.7,200.0,0.34709999999999996,0.4628,3.1599299999999997,100
91,222.49,-22.49,200.0,0.3722000000000001,0.48050000000000004,3.16396,100
92,218.14,-18.14,200.0,0.34959999999999986,0.4821999999999999,3.1474,100
93,222.65,-22.65,200.0,0.36669999999999997,0.4930999999999999,3.15096,100
94,214.98,-14.98,200.0,0.34840000000000004,0.45299999999999996,3.16485,100
95,223.94,-23.94,200.0,0.37420000000000003,0.491,3.15655,100
96,220.47,-20.47,200.0,0.3701000000000001,0.4644999999999999,3.17364,100
97,218.15,-18.15,200.0,0.352,0.4774999999999999,3.15362,100
98,217.85,-17.85,200.0,0.3740999999999999,0.43029999999999996,3.1951,100
99,210.58,-10.58,200.0,0.3148,0.47620000000000007,3.12117,100
100,211.26,-11.26,200.0,0.3126,0.4874,3.11404,100
