t,K,U,E,N0,Nx,S/nk,n
1,238.75,-38.75,200.0,0.4677000000000001,0.45209999999999995,3.05794,100
2,217.12,-17.12,200.0,0.3319,0.5074000000000001,3.03885,100
3,212.42,-12.42,200.0,0.33510000000000006,0.45400000000000007,3.10901,100
4,219.08,-19.08,200.0,0.3363999999999999,0.5180000000000001,3.09809,100
5,214.39,-14.39,200.0,0.32650000000000007,0.49090000000000006,3.11379,100
6,217.74,-17.74,200.0,0.3281,0.5211999999999999,3.09351,100
7,215.83,-15.83,200.0,0.36099999999999993,0.43629999999999997,3.1726900000000002,100
8,222.99,-22.99,200.0,0.3791,0.47170000000000006,3.16225,100
9,218.52,-18.52,200.0,0.3784,0.42840000000000006,3.19104,100
10,217.84,-17.84,200.0,0.3354000000000001,0.5076,3.11542,100
11,213.49,-13.49,200.0,0.341,0.45289999999999997,3.1515,100
12,207.52,-7.52,200.0,0.27099999999999996,0.5332,3.04085,100
13,211.28,-11.28,200.0,0.309,0.49479999999999996,3.09788,100
14,211.16,-11.16,200.0,0.2778,0.556,3.02857,100
15,213.68,-13.68,200.0,0.3276,0.4816,3.12989,100
16,212.81,-12.81,200.0,0.30510000000000004,0.5179,3.0879000000000003,100
17,215.76,-15.76,200.0,0.3492,0.4592,3.16129,100
18,225.49,-25.49,200.0,0.37200000000000005,0.5109,3.13605,100
19,213.95,-13.95,200.0,0.3159,0.5076999999999999,3.1039,100
20,222.91,-22.91,200.0,0.3625,0.5041,3.1369499999999997,100
21,218.18,-18.18,200.0,0.3520999999999999,0.47759999999999997,3.15531,100
22,225.49,-25.49,200.0,0.3814999999999999,0.4918999999999999,3.15746,100
23,219.08,-19.08,200.0,0.3455,0.49979999999999997,3.12947,100
24,214.88,-14.88,200.0,0.3269,0.495,3.12315,100
25,228.77,-28.77,200.0,0.41019999999999995,0.4673,3.19181,100
26,217.66,-17.66,200.0,0.3444,0.4878,3.14199,100
27,218.85,-18.85,200.0,0.35030000000000006,0.48789999999999994,3.14721,100
28,216.61,-16.61,200.0,0.35289999999999994,0.4603,3.16628,100
29,220.9,-20.9,200.0,0.3575000000000001,0.49399999999999994,3.14464,100
30,227.27,-27.27,200.0,0.4104999999999999,0.4517,3.2035,100
31,215.98,-15.98,200.0,0.3049,0.55,3.0614299999999997,100
32,221.66,-21.66,200.0,0.3788,0.45899999999999996,3.1828600000000002,100
33,214.76,-14.76,200.0,0.32280000000000003,0.502,3.10977,100
34,218.61,-18.61,200.0,0.3365000000000001,0.5131,3.10757,100
35,221.1,-21.1,200.0,0.34870000000000007,0.5136,3.11239,100
36,222.07,-22.07,200.0,0.39399999999999996,0.43270000000000003,3.20744,100
37,222.53,-22.53,200.0,0.3710000000000001,0.4832999999999999,3.1616500000000003,100
38,215.26,-15.26,200.0,0.3616000000000001,0.4294,3.18715,100
39,221.82,-21.82,200.0,0.37140000000000006,0.4754,3.16465,100
40,220.95,-20.95,200.0,0.34900000000000003,0.5115000000000001,3.1219099999999997,100
41,221.39,-21.39,200.0,0.368,0.47790000000000005,3.1565100000000004,100
42,218.86,-18.86,200.0,0.32969999999999994,0.5291999999999999,3.09485,100
43,223.97,-23.97,200.0,0.37089999999999995,0.4979,3.1464299999999996,100
44,220.2,-20.2,200.0,0.3690999999999999,0.4638000000000001,3.17601,100
45,223.0,-23.0,200.0,0.41009999999999996,0.40980000000000005,3.23058,100
46,224.46,-24.46,200.0,0.3959,0.45280000000000004,3.19675,100
47,216.25,-16.25,200.0,0.3364000000000001,0.48969999999999997,3.13286,100
48,215.24,-15.24,200.0,0.34230000000000005,0.46779999999999994,3.14894,100
49,212.09,-12.09,200.0,0.33049999999999996,0.45990000000000003,3.14419,100
50,210.07,-10.07,200.0,0.3136999999999999,0.4733,3.12145,100
51,214.76,-14.76,200.0,0.34380000000000005,0.4600000000000001,3.15584,100
52,212.56,-12.56,200.0,0.3167999999999999,0.49200000000000005,3.11473,100
53,216.79,-16.79,200.0,0.3604000000000001,0.4471,3.17542,100
54,215.82,-15.82,200.0,0.33279999999999993,0.49260000000000004,3.1304600000000002,100
55,217.05,-17.05,200.0,0.3808999999999999,0.40869999999999995,3.20619,100
56,214.84,-14.84,200.0,0.30190000000000006,0.5446000000000001,3.06729,100
57,211.87,-11.87,200.0,0.31750000000000006,0.4837,3.11975,100
58,216.0,-16.0,200.0,0.335,0.49,3.13474,100
59,221.13,-21.13,200.0,0.3437000000000001,0.5239,3.11271,100
60,220.14,-20.14,200.0,0.361,0.4793999999999999,3.15447,100
61,223.64,-23.64,200.0,0.37379999999999997,0.48879999999999996,3.1575900000000003,100
62,222.3,-22.3,200.0,0.38940000000000013,0.4442000000000001,3.2001500000000003,100
63,218.64,-18.64,200.0,0.36780000000000007,0.4508,3.18002,100
64,219.78,-19.78,200.0,0.3673,0.4632,3.17488,100
65,214.07,-14.07,200.0,0.3081,0.5245000000000001,3.08662,100
66,213.47,-13.47,200.0,0.33580000000000004,0.4631,3.1464600000000003,100
67,214.41,-14.41,200.0,0.33390000000000003,0.47629999999999995,3.13922,100
68,224.28,-24.28,200.0,0.3811,0.4806,3.16564,100
69,220.59,-20.59,200.0,0.36619999999999997,0.47350000000000003,3.16317,100
70,221.16,-21.16,200.0,0.38769999999999993,0.4362,3.1973200000000004,100
71,219.38,-19.38,200.0,0.3491,0.49560000000000004,3.13115,100
72,222.53,-22.53,200.0,0.37550000000000006,0.4743,3.1643499999999998,100
73,216.84,-16.84,200.0,0.3398999999999999,0.4886,3.13255,100
74,211.73,-11.73,200.0,0.3067,0.5038999999999999,3.09363,100
75,218.3,-18.3,200.0,0.3558,0.47139999999999993,3.1544499999999998,100
76,212.59,-12.59,200.0,0.2991,0.5277,3.06799,100
77,205.56,-5.56,200.0,0.2952,0.46520000000000006,3.09771,100
78,219.83,-19.83,200.0,0.315,0.5683,3.05025,100
79,218.99,-18.99,200.0,0.3552000000000001,0.4795,3.15595,100
80,226.55,-26.55,200.0,0.3768,0.5118999999999999,3.1368,100
