t,K,U,E,N0,Nx,S/nk,n
1,230.64,-30.64,200.0,0.41879999999999995,0.46879999999999994,2.99747,100
2,211.17,-11.17,200.0,0.29790000000000005,0.5158999999999999,2.9766399999999997,100
3,232.11,-32.11,200.0,0.42480000000000007,0.4715,3.1184499999999997,100
4,213.0,-13.0,200.0,0.31310000000000004,0.5038,3.0508800000000003,100
5,215.66,-15.66,200.0,0.33989999999999987,0.47680000000000006,3.09985,100
6,206.88,-6.88,200.0,0.272,0.5247999999999999,3.0219699999999996,100
7,218.76,-18.76,200.0,0.35119999999999996,0.48519999999999996,3.1227600000000004,100
8,217.47,-17.47,200.0,0.34940000000000004,0.4759000000000001,3.12187,100
9,215.59,-15.59,200.0,0.33759999999999996,0.4807,3.11071,100
10,223.56,-23.56,200.0,0.37810000000000005,0.47940000000000005,3.13583,100
11,219.72,-19.72,200.0,0.3389000000000001,0.5194,3.07422,100
12,217.87,-17.87,200.0,0.35419999999999996,0.47029999999999994,3.11161,100
13,215.07,-15.07,200.0,0.3243,0.5021,3.06256,100
14,220.72,-20.72,200.0,0.3766,0.45400000000000007,3.1270300000000004,100
15,216.39,-16.39,200.0,0.32159999999999994,0.5207,3.0420700000000003,100
16,222.39,-22.39,200.0,0.38239999999999996,0.45909999999999995,3.13004,100
17,220.38,-20.38,200.0,0.35309999999999997,0.4976,3.09513,100
18,215.08,-15.08,200.0,0.33149999999999996,0.48779999999999996,3.1006199999999997,100
19,219.87,-19.87,200.0,0.3620999999999999,0.47450000000000003,3.14206,100
20,219.56,-19.56,200.0,0.3679,0.4598,3.15094,100
21,209.53,-9.53,200.0,0.3157,0.4639,3.0991999999999997,100
22,215.91,-15.91,200.0,0.34989999999999993,0.4593,3.1326199999999997,100
23,214.51,-14.51,200.0,0.31950000000000006,0.5060999999999999,3.0791999999999997,100
24,208.23,-8.23,200.0,0.2886,0.5051000000000001,3.04938,100
25,219.09,-19.09,200.0,0.3479,0.4951,3.1142800000000004,100
26,218.84,-18.84,200.0,0.34990000000000004,0.4886,3.11596,100
27,214.17,-14.17,200.0,0.3340000000000001,0.47369999999999995,3.11415,100
28,217.84,-17.84,200.0,0.3334,0.5116,3.10189,100
29,217.54,-17.54,200.0,0.3361,0.5032,3.10828,100
30,219.93,-19.93,200.0,0.3468,0.5057,3.10275,100
31,212.5,-12.5,200.0,0.3219000000000001,0.48119999999999996,3.09468,100
32,221.05,-21.05,200.0,0.35340000000000005,0.5037,3.10641,100
33,223.13,-23.13,200.0,0.37250000000000005,0.4863,3.1346999999999996,100
34,212.06,-12.06,200.0,0.3264,0.4678,3.10817,100
35,215.85,-15.85,200.0,0.3367,0.4850999999999999,3.1136399999999997,100
36,214.84,-14.84,200.0,0.31220000000000003,0.524,3.07803,100
37,216.86,-16.86,200.0,0.3265,0.5155999999999998,3.09538,100
38,216.18,-16.18,200.0,0.3467,0.46840000000000004,3.12741,100
39,222.45,-22.45,200.0,0.3901999999999999,0.44409999999999994,3.16838,100
40,219.39,-19.39,200.0,0.3335000000000001,0.5269,3.08335,100
41,217.6,-17.6,200.0,0.33459999999999995,0.5068,3.0994,100
42,218.46,-18.46,200.0,0.3501000000000001,0.48440000000000005,3.10544,100
43,217.78,-17.78,200.0,0.34489999999999993,0.488,3.0948,100
44,222.54,-22.54,200.0,0.353,0.5194000000000001,3.07808,100
45,218.55,-18.55,200.0,0.3366,0.5122999999999999,3.09429,100
46,218.07,-18.07,200.0,0.3585000000000001,0.4637,3.1446,100
47,222.32,-22.32,200.0,0.369,0.48519999999999996,3.13622,100
48,221.65,-21.65,200.0,0.37379999999999997,0.4689,3.14957,100
49,220.28,-20.28,200.0,0.3559999999999999,0.4907999999999999,3.12604,100
50,213.28,-13.28,200.0,0.3226,0.4876,3.1098600000000003,100
51,222.3,-22.3,200.0,0.3575,0.508,3.1186100000000003,100
52,218.41,-18.41,200.0,0.35639999999999994,0.47130000000000005,3.15253,100
53,219.14,-19.14,200.0,0.33230000000000004,0.5268,3.09269,100
54,218.85,-18.85,200.0,0.355,0.47850000000000004,3.13475,100
55,214.79,-14.79,200.0,0.3196,0.5086999999999999,3.0874099999999998,100
56,216.12,-16.12,200.0,0.3321,0.49699999999999994,3.10647,100
57,225.27,-25.27,200.0,0.39640000000000003,0.45990000000000003,3.18025,100
58,216.37,-16.37,200.0,0.31980000000000003,0.5240999999999999,3.08744,100
59,218.32,-18.32,200.0,0.361,0.46120000000000005,3.1635,100
60,222.68,-22.68,200.0,0.35700000000000004,0.5128,3.12521,100
61,216.44,-16.44,200.0,0.34650000000000003,0.4714,3.1424499999999997,100
62,218.77,-18.77,200.0,0.319,0.5497,3.0672800000000002,100
63,224.23,-24.23,200.0,0.3932,0.45589999999999997,3.1939,100
64,221.49,-21.49,200.0,0.3379,0.5391,3.09279,100
65,229.28,-29.28,200.0,0.4199,0.4530000000000001,3.20465,100
66,219.99,-19.99,200.0,0.3361,0.5277000000000001,3.1038099999999997,100
67,218.78,-18.78,200.0,0.3586000000000001,0.4706,3.16558,100
68,219.34,-19.34,200.0,0.36840000000000006,0.45660000000000006,3.18029,100
69,226.08,-26.08,200.0,0.3884,0.484,3.16972,100
70,220.29,-20.29,200.0,0.3538,0.49530000000000013,3.1429099999999996,100
71,226.57,-26.57,200.0,0.39660000000000006,0.4725000000000001,3.1818899999999997,100
72,228.13,-28.13,200.0,0.4017,0.4779,3.1765,100
73,223.78,-23.78,200.0,0.37160000000000004,0.4946,3.15023,100
74,215.7,-15.7,200.0,0.31629999999999997,0.5244000000000001,3.0959299999999996,100
75,219.73,-19.73,200.0,0.34650000000000014,0.5043000000000001,3.13114,100
76,225.84,-25.84,200.0,0.4212,0.4160000000000001,3.2337800000000003,100
77,217.74,-17.74,200.0,0.3272,0.523,3.10145,100
78,222.63,-22.63,200.0,0.3965000000000001,0.43329999999999996,3.20299,100
79,225.47,-25.47,200.0,0.37450000000000006,0.5057,3.14277,100
80,216.7,-16.7,200.0,0.3589,0.44920000000000004,3.17621,100
81,219.5,-19.5,200.0,0.34989999999999993,0.4952,3.1401999999999997,100
82,219.14,-19.14,200.0,0.3766,0.4382,3.1945,100
83,219.9,-19.9,200.0,0.34319999999999995,0.5126,3.12127,100
84,214.23,-14.23,200.0,0.3282,0.4859000000000001,3.12813,100
85,220.46,-20.46,200.0,0.3434,0.5178,3.1170999999999998,100
86,211.9,-11.9,200.0,0.3275,0.4639999999999999,3.1398099999999998,100
87,215.83,-15.83,200.0,0.3133,0.5317000000000001,3.0866599999999997,100
88,212.85,-12.85,200.0,0.3292999999999999,0.46990000000000004,3.13619,100
89,223.01,-23.01,200.0,0.37559999999999993,0.4789000000000001,3.1665900000000002,100
90,219.6,-19.6,200.0,0.3713,0.45339999999999997,3.1832399999999996,100
91,220.53,-20.53,200.0,0.3448,0.5157,3.11712,100
92,214.92,-14.92,200.0,0.3446,0.46,3.15754,100
93,210.65,-10.65,200.0,0.2956000000000001,0.5153,3.0823899999999997,100
94,209.16,-9.16,200.0,0.30110000000000003,0.48940000000000006,3.09873,100
95,227.22,-27.22,200.0,0.3880000000000001,0.49620000000000003,3.15601,100
96,208.97,-8.97,200.0,0.3107,0.4683000000000001,3.11814,100
97,218.69,-18.69,200.0,0.3462000000000001,0.49449999999999994,3.13681,100
98,217.58,-17.58,200.0,0.3643,0.4472,3.1804,100
99,210.85,-10.85,200.0,0.2981999999999999,0.5120999999999999,3.0867199999999997,100
100,211.84,-11.84,200.0,0.3259,0.4666,3.13466,100
100,211.66,-11.66,200.0,0.32489999999999997,0.46679999999999994,3.13382,100
101,210.86,-10.86,200.0,0.2985,0.5116,3.08727,100
