t,K,U,E,N0,Nx,S/nk,n
1,232.21,-32.21,200.0,0.42640000000000006,0.4693,3.0247800000000002,100
2,218.85,-18.85,200.0,0.3292,0.5301,3.01213,100
3,223.75,-23.75,200.0,0.3797,0.47809999999999997,3.11432,100
4,218.26,-18.26,200.0,0.33230000000000004,0.518,3.0579899999999998,100
5,218.83,-18.83,200.0,0.3757,0.43689999999999996,3.1579699999999997,100
6,224.16,-24.16,200.0,0.3968,0.44799999999999995,3.16891,100
7,225.63,-25.63,200.0,0.40099999999999997,0.4543,3.1639299999999997,100
8,212.71,-12.71,200.0,0.321,0.48510000000000003,3.0988,100
9,221.84,-21.84,200.0,0.3665,0.4854,3.13023,100
10,219.04,-19.04,200.0,0.3427,0.505,3.10364,100
11,229.81,-29.81,200.0,0.43200000000000005,0.43410000000000004,3.20448,100
12,220.04,-20.04,200.0,0.32539999999999997,0.5496,3.06705,100
13,227.6,-27.6,200.0,0.4157,0.4446,3.20859,100
14,219.65,-19.65,200.0,0.33490000000000003,0.5267000000000001,3.09796,100
15,223.61,-23.61,200.0,0.39919999999999994,0.43770000000000003,3.20018,100
16,223.74,-23.74,200.0,0.3570999999999999,0.5231999999999999,3.11142,100
17,228.17,-28.17,200.0,0.4306000000000001,0.42050000000000004,3.23452,100
18,221.68,-21.68,200.0,0.35359999999999986,0.5095999999999999,3.1309,100
19,226.93,-26.93,200.0,0.41440000000000005,0.44049999999999995,3.21379,100
20,217.2,-17.2,200.0,0.3261,0.5197999999999999,3.1056500000000002,100
21,215.66,-15.66,200.0,0.32909999999999995,0.49839999999999995,3.12268,100
22,216.8,-16.8,200.0,0.3527,0.46259999999999996,3.16254,100
23,227.45,-27.45,200.0,0.40299999999999997,0.4685,3.18676,100
24,219.72,-19.72,200.0,0.3662,0.46480000000000005,3.1704499999999998,100
25,224.83,-24.83,200.0,0.3802,0.4879,3.15787,100
26,216.55,-16.55,200.0,0.3532,0.45910000000000006,3.1654899999999997,100
27,224.2,-24.2,200.0,0.38290000000000013,0.47619999999999996,3.1746,100
28,216.72,-16.72,200.0,0.33360000000000006,0.5,3.1258600000000003,100
29,224.96,-24.96,200.0,0.3836,0.4824,3.16454,100
30,225.71,-25.71,200.0,0.3859,0.4853,3.1604699999999997,100
31,216.55,-16.55,200.0,0.32580000000000003,0.5139,3.09841,100
32,221.05,-21.05,200.0,0.3749,0.4607,3.17604,100
33,222.97,-22.97,200.0,0.3617999999999999,0.5061,3.1325,100
34,220.78,-20.78,200.0,0.37609999999999993,0.4556,3.18398,100
35,231.18,-31.18,200.0,0.426,0.45980000000000004,3.20054,100
36,215.39,-15.39,200.0,0.30820000000000003,0.5375,3.07627,100
37,219.63,-19.63,200.0,0.3856,0.42510000000000003,3.20726,100
38,219.97,-19.97,200.0,0.33759999999999996,0.5245000000000001,3.10719,100
39,216.69,-16.69,200.0,0.355,0.4569,3.16359,100
40,217.18,-17.18,200.0,0.3264,0.519,3.1016999999999997,100
41,216.88,-16.88,200.0,0.3274,0.514,3.1066599999999998,100
42,219.65,-19.65,200.0,0.3549,0.4867,3.1489000000000003,100
43,225.75,-25.75,200.0,0.3911,0.47529999999999994,3.1783,100
44,217.96,-17.96,200.0,0.35839999999999994,0.4628000000000001,3.1671,100
45,221.53,-21.53,200.0,0.3824,0.45049999999999996,3.19138,100
46,225.83,-25.83,200.0,0.3994,0.45949999999999996,3.1930300000000003,100
47,228.56,-28.56,200.0,0.4177,0.45020000000000004,3.20521,100
48,217.59,-17.59,200.0,0.3178,0.5403000000000001,3.08086,100
49,218.76,-18.76,200.0,0.3349999999999999,0.5176,3.1133200000000003,100
50,218.69,-18.69,200.0,0.3714,0.44409999999999994,3.18501,100
51,221.28,-21.28,200.0,0.3403,0.5322,3.09883,100
52,217.69,-17.69,200.0,0.3622999999999999,0.45230000000000004,3.17346,100
53,220.49,-20.49,200.0,0.3427,0.5195000000000001,3.11633,100
54,225.21,-25.21,200.0,0.40220000000000006,0.4477,3.20349,100
55,221.94,-21.94,200.0,0.36959999999999993,0.4802,3.16168,100
56,225.56,-25.56,200.0,0.3965000000000002,0.46259999999999996,3.19054,100
57,215.09,-15.09,200.0,0.3411999999999999,0.4684999999999999,3.1487600000000002,100
58,216.98,-16.98,200.0,0.32420000000000004,0.5214,3.09802,100
59,218.81,-18.81,200.0,0.3447,0.49870000000000003,3.1349899999999997,100
60,224.99,-24.99,200.0,0.38539999999999996,0.4791,3.1717199999999997,100
61,215.91,-15.91,200.0,0.3349,0.4893,3.1338000000000004,100
62,215.49,-15.49,200.0,0.3293,0.49629999999999996,3.1228800000000003,100
63,212.45,-12.45,200.0,0.3127,0.4990999999999999,3.10603,100
64,220.67,-20.67,200.0,0.36659999999999987,0.4734999999999999,3.1665,100
65,218.35,-18.35,200.0,0.3382,0.5071,3.12269,100
66,211.03,-11.03,200.0,0.3085,0.49330000000000007,3.10818,100
67,223.92,-23.92,200.0,0.37759999999999994,0.48399999999999993,3.16283,100
68,227.49,-27.49,200.0,0.40689999999999993,0.46110000000000007,3.19625,100
69,220.52,-20.52,200.0,0.35600000000000004,0.4932,3.14731,100
70,227.39,-27.39,200.0,0.42010000000000003,0.4337,3.22091,100
71,218.58,-18.58,200.0,0.3664,0.45299999999999996,3.17903,100
72,219.58,-19.58,200.0,0.35779999999999995,0.48019999999999996,3.15385,100
73,225.37,-25.37,200.0,0.4054,0.4429,3.20738,100
74,222.36,-22.36,200.0,0.4025000000000001,0.4186000000000001,3.2192800000000004,100
75,217.67,-17.67,200.0,0.3508999999999999,0.47490000000000004,3.1526,100
76,214.84,-14.84,200.0,0.3350000000000001,0.47839999999999994,3.13585,100
77,210.69,-10.69,200.0,0.3036999999999999,0.4995000000000001,3.0964,100
78,208.66,-8.66,200.0,0.30150000000000005,0.4836,3.10072,100
79,216.85,-16.85,200.0,0.3638,0.44089999999999996,3.1832399999999996,100
80,218.78,-18.78,200.0,0.3536000000000001,0.48059999999999997,3.15131,100
81,220.8,-20.8,200.0,0.3751,0.4578,3.18052,100
82,214.03,-14.03,200.0,0.29469999999999996,0.5509000000000001,3.052,100
83,210.43,-10.43,200.0,0.3416,0.4211,3.16338,100
